month,telco,service_coverage
2013-04,Singtel,99.11
2013-04,M1,97.93
2013-04,Starhub,99.25
2013-05,Singtel,99.21
2013-05,M1,97.87
2013-05,Starhub,99.2
2013-06,Singtel,99.03
2013-06,M1,98.17
2013-06,Starhub,99.4
2013-07,Singtel,99.33
2013-07,M1,98.83
2013-07,Starhub,99.38
2013-08,Singtel,99.42
2013-08,M1,99.1
2013-08,Starhub,99.28
2013-09,Singtel,99.68
2013-09,M1,98.66
2013-09,Starhub,99.63
2013-10,Singtel,99.56
2013-10,M1,98.94
2013-10,Starhub,99.68
2013-11,Singtel,99.7
2013-11,M1,99.31
2013-11,Starhub,99.65
2013-12,Singtel,99.63
2013-12,M1,99.15
2013-12,Starhub,99.62
2014-01,Singtel,99.67
2014-01,M1,99.4
2014-01,Starhub,99.78
2014-02,Singtel,99.76
2014-02,M1,99.68
2014-02,Starhub,99.84
2014-03,Singtel,99.56
2014-03,M1,99.36
2014-03,Starhub,99.73
2014-04,Singtel,99.42
2014-04,M1,99.85
2014-04,Starhub,99.75
2014-05,Singtel,99.44
2014-05,M1,99.71
2014-05,Starhub,99.83
2014-06,Singtel,99.58
2014-06,M1,99.62
2014-06,Starhub,99.64
2014-07,Singtel,99.66
2014-07,M1,99.34
2014-07,Starhub,99.76
2014-08,Singtel,99.34
2014-08,M1,99.3
2014-08,Starhub,99.39
2014-09,Singtel,99.15
2014-09,M1,99.2
2014-09,Starhub,99.56
2014-10,Singtel,99.73
2014-10,M1,99.72
2014-10,Starhub,99.9
2014-11,Singtel,99.4
2014-11,M1,99.66
2014-11,Starhub,99.93
2014-12,Singtel,99.27
2014-12,M1,99.36
2014-12,Starhub,99.61
2015-01,Singtel,99.58
2015-01,M1,99.63
2015-01,Starhub,99.84
2015-02,Singtel,99.65
2015-02,M1,99.68
2015-02,Starhub,99.82
2015-03,Singtel,99.37
2015-03,M1,99.46
2015-03,Starhub,99.52
2015-04,Singtel,99.75
2015-04,M1,99.61
2015-04,Starhub,99.81
2015-05,Singtel,99.59
2015-05,M1,99.51
2015-05,Starhub,99.91
2015-06,Singtel,99.4
2015-06,M1,99.24
2015-06,Starhub,99.67
2015-07,Singtel,99.73
2015-07,M1,99.64
2015-07,Starhub,99.86
2015-08,Singtel,99.55
2015-08,M1,99.56
2015-08,Starhub,99.58
2015-09,Singtel,99.16
2015-09,M1,99.1
2015-09,Starhub,99.71
2015-10,Singtel,99.68
2015-10,M1,99.86
2015-10,Starhub,99.86
2015-11,Singtel,99.53
2015-11,M1,99.69
2015-11,Starhub,99.9
2015-12,Singtel,99.38
2015-12,M1,99.45
2015-12,Starhub,99.65
2016-01,Singtel,99.59
2016-01,M1,99.8
2016-01,Starhub,99.9
2016-02,Singtel,99.67
2016-02,M1,99.73
2016-02,Starhub,99.7
2016-03,Singtel,99.67
2016-03,M1,99.78
2016-03,Starhub,99.8
2016-04,Singtel,99.75
2016-04,M1,99.87
2016-04,Starhub,99.85
2016-05,Singtel,99.89
2016-05,M1,99.7
2016-05,Starhub,99.92
2016-06,Singtel,99.7
2016-06,M1,99.88
2016-06,Starhub,99.88
